"","Type","Model","Status","Lost by","Date","Nearest location","Oryx URL","Source","Geolocation","Tags","Country","GeneralType","lat","lng"
"23","Armoured fighting vehicles","BTR-82AT","Abandoned","Russia",2024-10-18,"Pogrebki","https://i.postimg.cc/rp5drKSZ/1314-BTR-82-AT-aband-18-10-24.jpg","https://t.me/ombr41/861","51.391083,35.166806",NA,"Russia","Armoured fighting vehicles",51.391083,35.166806
"24","Armoured fighting vehicles","BTR-82AT","Abandoned","Russia",2024-09-10,"Zhuravli","https://i.postimg.cc/HkyjZ8Tq/1057-BTR-82-A-M-dam-10-09-24.jpg","https://t.me/lost_warinua/89186","51.4148,35.12133","Cope cage,Damaged","Russia","Armoured fighting vehicles",51.4148,35.12133
"25","Armoured fighting vehicles","BMD-2","Captured","Russia",2024-08-19,"Kursk oblast",NA,"https://t.me/lost_warinua/87112",NA,NA,"Russia","Armoured fighting vehicles",NA,NA
"26","Armoured fighting vehicles","BTR-82AT","Captured","Russia",2024-09-14,"Kursk oblast","https://i.postimg.cc/c1jV7V0M/1018-BTR-82-AT-capt-14-09-24.jpg","https://t.me/lost_warinua/89482",NA,"Armour kit missing","Russia","Armoured fighting vehicles",NA,NA
"27","Armoured fighting vehicles","BMP-3 688A-sb6-2KP","Abandoned","Russia",2024-11-11,"Novoivanovka","https://i.postimg.cc/brpsR8nZ/1051-BMP-3-688-A-sb6-2-KP-aband-11-11-24.jpg","https://t.me/OSHB_225/4761","51.317883,35.113362","Cope cage,Jammer,V,☐,Underwater","Russia","Armoured fighting vehicles",51.317883,35.113362
"28","Armoured fighting vehicles","BMP-3 688A-sb6-2KP","Destroyed","Russia",2024-11-13,"Lyubimovka",NA,"https://t.me/rusich_army/18767","51.318329,35.0352722","Turretless,Cope cage","Russia","Armoured fighting vehicles",51.318329,35.0352722
"29","Armoured fighting vehicles","BMP-3 688A-sb6-2KP","Destroyed","Russia",2024-11-12,"Kursk oblast","https://i.postimg.cc/CMvpVj3v/1030-BMP-3-destr-12-11-24.jpg","https://t.me/brygada47/1051",NA,NA,"Russia","Armoured fighting vehicles",NA,NA
"30","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-11-02,"Kursk oblast","https://i.postimg.cc/KYFqSrVN/1036-BMD-2-destr-02-11-24.jpg","https://t.me/ssternenko/35634",NA,"Cope cage","Russia","Armoured fighting vehicles",NA,NA
"31","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-10-31,"Kursk oblast","https://i.postimg.cc/3rXBYw1f/1036-BMD-2-destr-31-10-24.jpg","https://x.com/OSINTua/status/1852014840027467922",NA,"Turretless,Shattered,Cope cage","Russia","Armoured fighting vehicles",NA,NA
"32","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-10-26,"Obukhovka","https://i.postimg.cc/DyH1KjQw/1026-BMD-4-M-destr-26-10-24.jpg","https://t.me/lost_warinua/94624","51.278030,34.958877","Cope cage,Turretless,Shattered,Jammer","Russia","Armoured fighting vehicles",51.27803,34.958877
"33","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-10-22,"Byakhovo","https://i.postimg.cc/P5LqkHSb/1004-BMD-2-destr-22-10-24.jpg","https://t.me/lost_warinua/94086","51.28020,34.90797","Cope cage,Jammer","Russia","Armoured fighting vehicles",51.2802,34.90797
"34","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-10-20,"Kursk oblast","https://i.postimg.cc/W3KF0PC3/1277-BMD-2-destr-20-10-24.jpg","https://t.me/chornyi_stryzh/86",NA,NA,"Russia","Armoured fighting vehicles",NA,NA
"35","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-10-20,"Glushkovo","https://i.postimg.cc/GtyBQ5nj/1281-BMD-2-destr-20-10-24.jpg","https://t.me/ssternenko/35133","51.309387,34.625676","Turretless,V,Cope cage","Russia","Armoured fighting vehicles",51.309387,34.625676
"36","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-10-16,"Lyubimovka","https://i.postimg.cc/pXPBTt1W/1048-BMD-2-desttr-16-10-24.jpg","https://t.me/russian_airborne/7654","51.3115,35.062917","Turretless,Shattered","Russia","Armoured fighting vehicles",51.3115,35.062917
"37","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-10-15,"Kursk oblast","https://i.postimg.cc/Bvm1QFC2/1170-BMD-2-destr-15-10-24.jpg","https://t.me/lost_warinua/93201",NA,"V,Cope cage","Russia","Armoured fighting vehicles",NA,NA
"38","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-10-05,"Veseloe","https://i.postimg.cc/TPB90DyB/1046-BMD-2-destr-05-10-24.jpg","https://t.me/lost_warinua/91928","51.29004,34.60499","Cope cage,Turretless,Shattered","Russia","Armoured fighting vehicles",51.29004,34.60499
"39","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-09-30,"Kursk oblast","https://i.postimg.cc/vZ8jYMtM/1049-BMD-2-destr-30-09-24.jpg","https://t.me/lost_warinua/91438",NA,"V,Cope cage","Russia","Armoured fighting vehicles",NA,NA
"40","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-09-29,"Veseloe","https://i.postimg.cc/WzMK31yp/1041-BMD-2-destr-29-09-24.jpg","https://t.me/lost_warinua/91300","51.26853,34.57744","V,Cope cage,Jammer","Russia","Armoured fighting vehicles",51.26853,34.57744
"41","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-09-19,"Veseloe","https://i.postimg.cc/3RWXrMwn/1074-BMD-2-destr-19-09-24.jpg","https://t.me/lost_warinua/90018","51.296869,34.538618","Cope cage,Jammer","Russia","Armoured fighting vehicles",51.296869,34.538618
"42","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-09-18,"Glushkovo","https://i.postimg.cc/gJjvNtm3/1047-BMD-2-destr-18-09-24.jpg","https://t.me/requiemgroupsof/19","51.301885,34.614946","V,Cope cage","Russia","Armoured fighting vehicles",51.301885,34.614946
"43","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-09-14,"Obukhovka","https://i.postimg.cc/fbBc7Qnw/1042-BMD-2-destr-15-09-24.jpg","https://t.me/lost_warinua/89587","51.304444,34.974222","Cope cage","Russia","Armoured fighting vehicles",51.304444,34.974222
"44","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-09-14,"Lyubimovka","https://i.postimg.cc/FK9bJs6W/1016-BMD-2-destr-14-09-24.jpg","https://t.me/lost_warinua/89494","51.307587,35.018939","Turretless","Russia","Armoured fighting vehicles",51.307587,35.018939
"45","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-09-14,"Lyubimovka","https://i.postimg.cc/g2yqJ6gL/1017-BMD-2-destr-14-09-24.jpg","https://t.me/lost_warinua/89494","51.307566,35.018778","Turretless","Russia","Armoured fighting vehicles",51.307566,35.018778
"46","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-09-13,"Lyubimovka","https://i.postimg.cc/tRP0V37Y/1044-Unknown-tank-destr-13-09-24.jpg","https://t.me/Zigun_Mangusta/15054","51.30589,35.00342","Turretless,Cope cage","Russia","Armoured fighting vehicles",51.30589,35.00342
"47","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-09-11,"Lyubimovka","https://i.postimg.cc/Ls91pDjH/1001-bmd2-destr-11-09-24.jpg","https://t.me/lost_warinua/92299","51.305611,34.997","Cope cage","Russia","Armoured fighting vehicles",51.305611,34.997
"48","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-09-11,"Kursk oblast","https://i.postimg.cc/xdV7Hhsw/1048-BMD-2-destr-11-09-24.jpg","https://t.me/lost_warinua/89197",NA,"Turretless,Cope cage","Russia","Armoured fighting vehicles",NA,NA
"49","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-09-04,"Korenevo","https://i.postimg.cc/HW5F36LG/1036-BMD-2-destr-04-09-24.jpg","https://t.me/lost_warinua/91432","51.371222,34.902389","V,Cope cage,☐","Russia","Armoured fighting vehicles",51.371222,34.902389
"50","Armoured fighting vehicles","BMP-3 Obr. 2020","Destroyed","Russia",2024-11-21,"Kursk oblast","https://i.postimg.cc/gJ8BnDwr/1018-BMP-3-Obr-2020-destr-21-11-24.jpg","https://t.me/savelifeua/3267",NA,"Turretless,Shattered,Cope cage,Jammer,V","Russia","Armoured fighting vehicles",NA,NA
"51","Armoured fighting vehicles","BMP-3 or BMD-4M","Destroyed","Russia",2024-11-17,"Kursk oblast","https://i.postimg.cc/G2b7H0SW/1053-BMP-3-or-BMD-4-M-destr-17-11-24.jpg","https://t.me/lost_warinua/97157",NA,"Cope cage","Russia","Armoured fighting vehicles",NA,NA
"52","Armoured fighting vehicles","BMD-4M","Destroyed","Russia",2024-10-10,"Lyubimovka","https://i.postimg.cc/m2ZQWNQL/1317-BMD-4-M-destr-10-10-24.jpg","https://t.me/ssternenko/35136","51.348272,34.978861","Cope cage,Improvised","Russia","Armoured fighting vehicles",51.348272,34.978861
"53","Armoured fighting vehicles","BMD-4M","Destroyed","Russia",2024-09-30,"Kursk oblast","https://i.postimg.cc/Y9gxsCY0/1017-BMD-4-M-destr-30-09-24.jpg","https://t.me/lost_warinua/91899",NA,"Cope cage","Russia","Armoured fighting vehicles",NA,NA
"54","Armoured fighting vehicles","BMD-4M","Destroyed","Russia",2024-09-11,"Lyubimovka","https://i.postimg.cc/DZm4WzCH/1000-BMD-4-M-destr-11-09-24.jpg","https://t.me/lost_warinua/92305","51.312528,35.004222","Turretless,Cope cage","Russia","Armoured fighting vehicles",51.312528,35.004222
"55","Armoured fighting vehicles","BMD-4M","Destroyed","Russia",2024-09-11,"Korenevo","https://i.postimg.cc/QtzcPgdw/1048-BMD-4-M-destr-11-09-24.jpg","https://t.me/lost_warinua/89838","51.376944,34.907583","Cope cage","Russia","Armoured fighting vehicles",51.376944,34.907583
"56","Armoured fighting vehicles","BMP-1 or 2","Destroyed","Russia",2024-10-15,"Kursk oblast","https://i.postimg.cc/pX6hmSpr/1139-BMP-1-or-2-destr-15-10-24.jpg","https://t.me/lost_warinua/93197",NA,NA,"Russia","Armoured fighting vehicles",NA,NA
"57","Armoured fighting vehicles","BMP-1 or 2","Destroyed","Russia",2024-08-24,"Sukhaya","https://i.postimg.cc/BZhPVpch/1003-BMP-1-or-2-destr-24-08-24.jpg","https://t.me/ssternenko/32819","51.454861,34.619083","Turretless,Cope cage,Expanded cabin,Improvised","Russia","Armoured fighting vehicles",51.454861,34.619083
"58","Armoured fighting vehicles","BMP-2 675-sb3KDZ","Destroyed","Russia",2024-10-25,"Obukhovka","https://i.postimg.cc/1tbgLtQq/1071-BMP-2-675-sb3-KDZ-destr-25-10-24.jpg","https://t.me/lost_warinua/94360","51.272847,34.992281","Turretless,V,Cope cage,Jammer","Russia","Armoured fighting vehicles",51.272847,34.992281
"59","Armoured fighting vehicles","BMP-2(K)","Destroyed","Russia",2024-10-31,"Obukhovka","https://i.postimg.cc/L5wcSgKV/1009-BMP-2-K-destr-31-10-24.jpg","https://x.com/OSINTua/status/1852012907023712751","51.286199,34.957358","Turretless,Cope cage","Russia","Armoured fighting vehicles",51.286199,34.957358
"60","Armoured fighting vehicles","BMP-2(K)","Destroyed","Russia",2024-10-31,"Kursk oblast","https://i.postimg.cc/sX4LZ2Vm/1035-BMP-2-K-destr-31-10-24.jpg","https://x.com/OSINTua/status/1852014840027467922",NA,"Z,Cope cage,Jammer,Improvised","Russia","Armoured fighting vehicles",NA,NA
"61","Armoured fighting vehicles","BMP-2(K)","Destroyed","Russia",2024-10-31,"Kursk oblast","https://i.postimg.cc/SK83kr3w/1038-BMP-2-K-destr-31-10-24.jpg","https://x.com/OSINTua/status/1852015085771760090",NA,"Turretless","Russia","Armoured fighting vehicles",NA,NA
"62","Armoured fighting vehicles","BMP-2(K)","Destroyed","Russia",2024-10-31,"Kursk oblast","https://i.postimg.cc/d1YX1CKD/1039-BMP-2-K-destr-31-10-24.jpg","https://x.com/OSINTua/status/1852015085771760090",NA,"Turretless","Russia","Armoured fighting vehicles",NA,NA
"63","Armoured fighting vehicles","BMP-2(K)","Destroyed","Russia",2024-10-31,"Obukhovka","https://i.postimg.cc/zDpMz32X/1040-BMP-2-K-destr-31-10-24.jpg","https://x.com/OSINTua/status/1852014550167470240","51.275778,34.984667","Cope cage,Jammer,Improvised","Russia","Armoured fighting vehicles",51.275778,34.984667
"64","Armoured fighting vehicles","BMP-2(K)","Destroyed","Russia",2024-10-26,"Obukhovka","https://i.postimg.cc/cCD5X5t8/1052-BMP-2-K-destr-26-10-24.jpg","https://t.me/lost_warinua/94629","51.277966,34.959134","Cope cage,Improvised","Russia","Armoured fighting vehicles",51.277966,34.959134
"65","Armoured fighting vehicles","BMP-2(K)","Destroyed","Russia",2024-10-17,"Lyubimovka","https://i.postimg.cc/VL6hd129/1053-BMP-2-K-destr-17-10-24.jpg","https://t.me/lost_warinua/93470","51.307583,35.020694","Cope cage","Russia","Armoured fighting vehicles",51.307583,35.020694
"66","Armoured fighting vehicles","BMP-2(K)","Destroyed","Russia",2024-10-17,"Ulanok","https://i.postimg.cc/t4VSLhFv/1219-BMP-2-K-destr-17-10-24.jpg","https://t.me/lost_warinua/93390","51.15758,35.38500","Cope cage","Russia","Armoured fighting vehicles",51.15758,35.385
"67","Armoured fighting vehicles","BMP-2(K)","Destroyed","Russia",2024-10-04,"Kursk oblast","https://i.postimg.cc/j207w6Wd/1025-BMP-2-K-destr-04-10-24.jpg","https://t.me/lost_warinua/91808",NA,"Z,Cope cage","Russia","Armoured fighting vehicles",NA,NA
"68","Armoured fighting vehicles","BMP-2M 'Berezhok'","Destroyed","Russia",2024-08-24,"Sukhaya","https://i.postimg.cc/9Frw59Lc/1002-BMP-2-M-Berezhok-destr-24-08-24.jpg","https://t.me/ssternenko/32819","51.454861,34.619083","Cope cage","Russia","Armoured fighting vehicles",51.454861,34.619083
"69","Armoured fighting vehicles","BMP-3","Destroyed","Russia",2024-11-07,"Zelenyi Shlyakh","https://i.postimg.cc/rwPR2vBH/1001-BMP-3-destr-07-11-24.jpg","https://t.me/lost_warinua/96271","51.31,35.095611","Cope cage,Jammer","Russia","Armoured fighting vehicles",51.31,35.095611
"70","Armoured fighting vehicles","BMP-3","Destroyed","Russia",2024-10-25,"Lyubimovka","https://i.postimg.cc/0jwhy1td/1037-BMP-3-destr-31-10-24.jpg","https://t.me/zsu82odshbr/389","51.3145401,35.046122","Cope cage,Jammer","Russia","Armoured fighting vehicles",51.3145401,35.046122
"71","Armoured fighting vehicles","BMP-3","Destroyed","Russia",2024-10-25,"Lyubimovka","https://i.postimg.cc/zfmcXwFt/1039-BMP-3-destr-25-10-24.jpg","https://t.me/zsu82odshbr/389","51.307725,35.021202","Cope cage","Russia","Armoured fighting vehicles",51.307725,35.021202
"72","Armoured fighting vehicles","BMP-3","Destroyed","Russia",2024-10-17,"Zelenyi Shlyakh","https://i.postimg.cc/WbXKgGvh/1214-BMP-3-destr-17-10-24.jpg","https://t.me/lost_warinua/93437","51.313952,35.083852","Cope cage","Russia","Armoured fighting vehicles",51.313952,35.083852
"73","Armoured fighting vehicles","BMP-3","Destroyed","Russia",2024-10-13,"Lyubimovka","https://i.postimg.cc/W38WnBLC/1051-BMP-3-destr-13-10-24.jpg","https://t.me/zsu82odshbr/389","51.329340,35.001828","Cope cage,Jammer","Russia","Armoured fighting vehicles",51.32934,35.001828
"74","Armoured fighting vehicles","BMP-3","Destroyed","Russia",2024-10-10,"Snagost","https://i.postimg.cc/t4L4qccK/1036-BMP-3-or-BMD-4-M-destr-10-10-24.jpg","https://t.me/zsu82odshbr/389","51.338639,34.953417","Turretless,Cope cage","Russia","Armoured fighting vehicles",51.338639,34.953417
"75","Armoured fighting vehicles","BMP-3","Destroyed","Russia",2024-10-10,"Snagost","https://i.postimg.cc/Xvd7p8Sp/1037-BMP-3-or-BMD-4-M-destr-10-10-24.jpg","https://t.me/zsu82odshbr/389","51.338611,34.953889","Turretless","Russia","Armoured fighting vehicles",51.338611,34.953889
"76","Armoured fighting vehicles","BMP-3","Destroyed","Russia",2024-10-10,"Obukhovka","https://i.postimg.cc/y8xGPD1n/1229-BMP-3-destr-10-10-24.jpg","https://t.me/lost_warinua/93330","51.272063,34.994036","Cope cage","Russia","Armoured fighting vehicles",51.272063,34.994036
"77","Armoured fighting vehicles","BMP-3","Destroyed","Russia",2024-10-10,"Obukhovka","https://i.postimg.cc/vZKNSGDy/1230-BMP-3-destr-10-10-24.jpg","https://t.me/lost_warinua/93330","51.271807,34.993798","Turretless,Cope cage","Russia","Armoured fighting vehicles",51.271807,34.993798
"78","Armoured fighting vehicles","BMP-3","Destroyed","Russia",2024-09-23,"Obukhovka","https://i.postimg.cc/P5Ysnkqx/1009-BMD-4-M-destr-23-09-24.jpg","https://t.me/lost_warinua/90816","51.27223,34.95248","Cope cage","Russia","Armoured fighting vehicles",51.27223,34.95248
"79","Armoured fighting vehicles","BMP-3","Destroyed","Russia",2024-09-17,"Sadovoye Tovarishchestvo Glushkovo","https://i.postimg.cc/DwGLN49Y/1069-BMP-3-destr-17-09-24.jpg","https://t.me/lost_warinua/89805","51.28707,34.72022","Turretless,Shattered","Russia","Armoured fighting vehicles",51.28707,34.72022
"80","Armoured fighting vehicles","BMP-3","Destroyed","Russia",2024-08-13,"Martynovka","https://i.postimg.cc/Ghwy103y/1034-BMP-3-destr-13-08-24.jpg",NA,"51.264867,35.370483","Turretless","Russia","Armoured fighting vehicles",51.264867,35.370483
"81","Armoured fighting vehicles","BMP-3 or BMD-4M","Destroyed","Russia",2024-11-17,"Kursk oblast","https://i.postimg.cc/BvT7SZN5/1052-BMP-3-or-BMD-4-M-destr-17-11-24.jpg","https://t.me/lost_warinua/97157",NA,"Cope cage,Turretless","Russia","Armoured fighting vehicles",NA,NA
"82","Armoured fighting vehicles","BMP-3 or BMD-4M","Destroyed","Russia",2024-11-17,"Kursk oblast","https://i.postimg.cc/R05bxJ1V/1051-BMP-3-or-BMD-4-M-destr-17-11-24.jpg","https://t.me/lost_warinua/97153",NA,"Turretless,Cope cage","Russia","Armoured fighting vehicles",NA,NA
"83","Armoured fighting vehicles","BMP-3 688A-sb6-2KP","Destroyed","Russia",2024-10-31,"Zelenyi Shlyakh","https://i.postimg.cc/SKgBZr28/1029-BMP-3-688-A-sb6-2-KP-destr-31-10-24.jpg","https://x.com/OSINTua/status/1852006202890174806","51.317778,35.082694","Turretless,Cope cage,Jammer","Russia","Armoured fighting vehicles",51.317778,35.082694
"84","Armoured fighting vehicles","BMP-3 688A-sb6-2KP","Destroyed","Russia",2024-10-17,"Zelenyi Shlyakh","https://i.postimg.cc/02PGxFhw/1201-BMP-3-688-A-sb6-2-KP-destr-17-10-24.jpg","https://t.me/brygada47/1029","51.307278,35.086444","Turretless,Shattered","Russia","Armoured fighting vehicles",51.307278,35.086444
"85","Armoured fighting vehicles","BMP-3 688A-sb6-2KP","Destroyed","Russia",2024-10-16,"Zelenyi Shlyakh","https://i.postimg.cc/c4s2vDPp/1203-BMP-3-destr-16-10-24.jpg","https://t.me/lost_warinua/93378","51.314861,35.081056","Cope cage,Shattered,Turretless","Russia","Armoured fighting vehicles",51.314861,35.081056
"86","Armoured fighting vehicles","BMP-3 688A-sb6-2KP","Destroyed","Russia",2024-10-15,"Novoivanovka","https://i.postimg.cc/cJQ5KKDs/1048-BMP-3-688-A-sb6-2-KP-destr-24-10-24.jpg","https://t.me/ssternenko/35306","51.323544,35.078153","Turretless,Cope cage","Russia","Armoured fighting vehicles",51.323544,35.078153
"87","Armoured fighting vehicles","BMP-3 688A-sb6-2KP","Destroyed","Russia",2024-10-10,"Lyubimovka","https://i.postimg.cc/x8PZsHNp/1116-BMP-3-destr-10-10-24.jpg","https://t.me/lost_warinua/92799","51.330648,35.005682","V,Cope cage,Jammer","Russia","Armoured fighting vehicles",51.330648,35.005682
"88","Armoured fighting vehicles","BMP-3 688A-sb6-2KP","Destroyed","Russia",2024-10-09,"Obukhovka","https://i.postimg.cc/9XtWbQkG/1100-BMP-3-688-A-sb6-2-KP-destr-09-10-24.jpg","https://x.com/OSINTua/status/1852005272539025574","51.285806,34.964722","Turretless,Cope cage","Russia","Armoured fighting vehicles",51.285806,34.964722
"89","Armoured fighting vehicles","BMP-3 688A-sb6-2KP","Destroyed","Russia",2024-09-23,"Nikolaevo-Darino","https://i.postimg.cc/y69nZxrk/1062-BMP-3-688-A-sb6-2-KP-destr-23-09-24.jpg","https://t.me/lost_warinua/90592","51.23851,34.95139","Cope cage,Turretless","Russia","Armoured fighting vehicles",51.23851,34.95139
"90","Armoured fighting vehicles","BMP-3 688A-sb6-2KP","Destroyed","Russia",2024-08-13,"Martynovka","https://i.postimg.cc/KcgMVcbb/1035-BMP-3-688-A-sb6-2-KP-destr-13-08-24.jpg",NA,"51.264050,35.370500","Turretless","Russia","Armoured fighting vehicles",51.26405,35.3705
